"recorder","activity_ratio","active_days","median_weekly_devoted_days","periodicity","periodicity_variation","upper_area","upper_n_poly","ratio","status"
"990762",0.0547550432276657,19,2,3,4.13645912800393,564,1,0.287234042553192,"Lockdown"
"1032079",0.103351955307263,37,3,1,4.44045572647938,994,1,0.346076458752515,"Lockdown"
"1093305",0.050561797752809,18,2,2,2.33809038890002,887,1,0.33934611048478,"Lockdown"
"1268928",0.0875706214689266,31,4,1,0.78313504110775,480,1,0.304166666666667,"Lockdown"
"1360566",0.199445983379501,72,5,1,1.08213423046941,1666,1,0.213085234093637,"Lockdown"
"1370558",0.0515759312320917,18,1.5,2.5,4.94258704189078,1336,2,0.279940119760479,"Lockdown"
"1383198",0.11731843575419,42,2,1.5,1.69766053204146,2211,1,0.23835368611488,"Lockdown"
"1462872",0.0611111111111111,22,1,3,3.14349788410433,599,1,0.293823038397329,"Lockdown"
"1494293",0.357142857142857,15,2,1,3.98968450100787,480,1,0.30625,"Lockdown"
"1512184",0.6875,22,5,1,0.749603069567329,491,1,0.305498981670061,"Lockdown"
"1531239",0.183844011142061,66,5,1,1.24233762632296,868,1,0.243087557603687,"Lockdown"
"1590267",0.0963172804532578,34,2.5,2,1.80389363823495,1120,1,0.353571428571429,"Lockdown"
"1706425",0.0842696629213483,30,3,2,3.09868550386319,885,1,0.240677966101695,"Lockdown"
"1808155",0.0563380281690141,20,2,2.5,7.06274400931936,707,1,0.229137199434229,"Lockdown"
"1826675",0.0518731988472622,18,2,2.5,3.45868472110425,741,2,0.213225371120108,"Lockdown"
"1857926",0.128133704735376,46,4,1,2.08424574805045,993,2,0.227593152064451,"Lockdown"
"1997051",0.0914127423822715,33,2,2,3.23621975143375,1067,2,0.258669165885661,"Lockdown"
"2177480",0.122905027932961,44,3,2,0.942295612887677,480,1,0.302083333333333,"Lockdown"
"2242992",0.11142061281337,40,2.5,2,2.38847993823744,2018,5,0.14816650148662,"Lockdown"
"2292051",0.0436046511627907,15,1,3,4.45346307196246,1232,3,0.219155844155844,"Lockdown"
"2326095",0.457142857142857,16,2,1,2.86522665936289,662,1,0.287009063444109,"Lockdown"
"2391245",0.441860465116279,19,3.5,1,2.61218862484406,688,1,0.337209302325581,"Lockdown"
"2460994",0.0672268907563025,24,1.5,3.5,2.14466013614444,532,1,0.287593984962406,"Lockdown"
"2475170",0.630434782608696,29,4,1,1.31485207488751,559,1,0.277280858676207,"Lockdown"
"2524708",0.0891364902506964,32,2,2,3.05053226936494,1134,1,0.287477954144621,"Lockdown"
"2566487",0.0626780626780627,22,3,2,1.60918416727562,983,1,0.347914547304171,"Lockdown"
"3043180",0.101123595505618,36,3,2,1.55470649946067,485,1,0.298969072164948,"Lockdown"
"3198989",0.11142061281337,40,2.5,2,1.68754115907869,1462,3,0.251709986320109,"Lockdown"
